dateCrawled,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,postalCode
2016-03-06 00:25:22,4200,cabrio,2005,manuell,136,2_reihe,125000,3,benzin,peugeot,nein,56564
2016-03-06 00:25:23,24300,bus,2012,manuell,140,sharan,70000,1,diesel,volkswagen,nein,65779
2016-03-06 00:25:24,9999,kombi,2007,manuell,174,clubman,90000,10,benzin,mini,nein,60388
2016-03-06 00:25:24,2500,limousine,1999,manuell,118,3er,150000,12,benzin,bmw,nein,60529
2016-03-06 00:25:35,400,coupe,2000,manuell,90,tigra,150000,9,benzin,opel,ja,56462
2016-03-06 00:32:14,2350,limousine,2002,manuell,75,golf,150000,5,benzin,volkswagen,nein,56330
2016-03-06 00:32:16,7800,limousine,2006,manuell,250,andere,150000,6,benzin,saab,nein,65462
2016-03-06 00:36:16,1999,kombi,1999,manuell,116,bora,150000,0,diesel,volkswagen,ja,99625
2016-03-06 00:36:17,21500,coupe,1968,automatik,200,mustang,125000,6,benzin,ford,nein,67466
2016-03-06 00:36:18,2100,kombi,1999,automatik,170,c_klasse,125000,8,benzin,mercedes_benz,nein,13059
2016-03-06 00:36:19,17250,suv,2006,manuell,250,cayenne,150000,5,benzin,porsche,nein,24105
2016-03-06 00:36:20,4450,kleinwagen,2007,manuell,75,corsa,150000,8,diesel,opel,nein,47638
2016-03-06 00:36:20,5500,limousine,2003,automatik,143,c_klasse,150000,8,benzin,mercedes_benz,nein,94315
2016-03-06 00:36:21,1900,kleinwagen,2002,manuell,75,corsa,150000,2,benzin,opel,nein,31061
2016-03-06 00:36:22,12200,limousine,2008,manuell,143,a4,150000,8,diesel,audi,nein,71254
2016-03-06 00:36:23,600,limousine,1998,manuell,75,fiesta,150000,11,benzin,ford,ja,66798
2016-03-06 00:36:42,3499,coupe,2001,manuell,118,3er,150000,3,benzin,bmw,ja,81369
2016-03-06 00:36:43,5950,bus,2007,manuell,109,c_max,90000,10,diesel,ford,nein,48431
2016-03-06 00:36:44,8500,bus,2001,automatik,102,transporter,150000,3,diesel,volkswagen,nein,71638
2016-03-06 00:36:45,4500,bus,2003,manuell,82,sprinter,150000,7,diesel,mercedes_benz,nein,44145
2016-03-06 00:36:55,7200,kombi,2009,manuell,0,a4,150000,11,diesel,audi,nein,4207
2016-03-06 00:36:56,9800,cabrio,1991,manuell,113,3er,125000,2,benzin,bmw,nein,81375
2016-03-06 00:37:00,2950,kleinwagen,2001,manuell,75,a2,150000,6,benzin,audi,nein,77855
2016-03-06 00:37:01,5400,kleinwagen,2009,automatik,71,fortwo,70000,6,benzin,smart,nein,63128
2016-03-06 00:37:03,15000,kleinwagen,2014,manuell,182,fiesta,60000,3,benzin,ford,nein,79219
2016-03-06 00:37:04,1900,limousine,1995,manuell,101,a4,150000,5,benzin,audi,ja,27753
2016-03-06 00:37:04,15300,bus,2014,manuell,86,golf,10000,7,benzin,volkswagen,nein,38442
2016-03-06 00:37:15,1750,limousine,2001,manuell,95,a_klasse,150000,9,diesel,mercedes_benz,nein,55232
2016-03-06 00:37:18,15800,kleinwagen,2013,manuell,122,a1,30000,3,benzin,audi,nein,34260
2016-03-06 00:37:58,9499,cabrio,2009,manuell,75,beetle,125000,8,benzin,volkswagen,nein,67133
2016-03-06 00:38:00,1400,kombi,2003,manuell,75,focus,30000,7,diesel,ford,nein,53940
2016-03-06 00:38:03,5490,kleinwagen,2008,manuell,80,polo,125000,11,benzin,volkswagen,nein,24966
2016-03-06 00:38:13,1200,limousine,1999,manuell,90,a3,150000,8,diesel,audi,nein,71634
2016-03-06 00:38:13,20450,limousine,2012,automatik,235,golf,40000,4,benzin,volkswagen,nein,83367
2016-03-06 00:38:15,8600,limousine,2002,manuell,179,golf,150000,5,benzin,volkswagen,nein,30539
2016-03-06 00:38:15,19000,suv,2010,manuell,163,amarok,80000,10,diesel,volkswagen,nein,38461
2016-03-06 00:38:20,8000,limousine,2005,manuell,140,a3,150000,12,diesel,audi,nein,81475
2016-03-06 00:38:23,3200,limousine,1998,manuell,136,e_klasse,125000,12,benzin,mercedes_benz,nein,22761
2016-03-06 00:38:32,2850,kleinwagen,2006,manuell,69,polo,150000,5,diesel,volkswagen,nein,9405
2016-03-06 00:38:33,2400,bus,2004,manuell,75,meriva,150000,3,diesel,opel,nein,52072
2016-03-06 00:38:34,6450,bus,2007,manuell,114,vivaro,150000,10,diesel,opel,nein,8280
2016-03-06 00:38:34,1100,limousine,1999,manuell,75,golf,150000,9,benzin,volkswagen,nein,47804
2016-03-06 00:38:35,1950,limousine,1997,manuell,101,a4,150000,10,benzin,audi,nein,81375
2016-03-06 00:39:32,4290,kleinwagen,2003,manuell,125,corsa,100000,10,benzin,opel,nein,89075
2016-03-06 00:39:32,5990,kleinwagen,2010,manuell,101,corsa,125000,5,benzin,opel,nein,64589
2016-03-06 00:39:32,8600,limousine,2007,automatik,150,qashqai,150000,6,diesel,nissan,nein,21337
2016-03-06 00:39:33,11999,kombi,2005,manuell,131,transporter,150000,5,diesel,volkswagen,nein,67149
2016-03-06 00:39:34,1999,coupe,2004,automatik,0,andere,150000,10,diesel,mercedes_benz,nein,15566
2016-03-06 00:40:10,3500,bus,1997,manuell,102,transporter,150000,12,diesel,volkswagen,nein,76829
2016-03-06 00:40:11,5200,suv,2011,manuell,82,niva,50000,1,benzin,lada,nein,67822
2016-03-06 00:40:12,780,limousine,1995,manuell,101,a4,150000,9,benzin,audi,nein,34127
2016-03-06 00:40:14,4600,kleinwagen,2009,manuell,69,yaris,80000,6,benzin,toyota,nein,58256
2016-03-06 00:42:27,7500,kleinwagen,1983,manuell,69,golf,80000,10,benzin,volkswagen,nein,81245
2016-03-06 00:42:28,7100,kombi,2010,manuell,105,golf,150000,2,diesel,volkswagen,nein,44894
2016-03-06 00:42:28,2999,limousine,2004,manuell,109,a_klasse,150000,11,diesel,mercedes_benz,nein,40474
2016-03-06 00:42:29,2200,kleinwagen,2001,manuell,58,corsa,150000,7,benzin,opel,nein,75177
2016-03-06 00:42:30,9990,coupe,1999,automatik,306,cl,125000,9,benzin,mercedes_benz,nein,67227
2016-03-06 00:42:30,1500,kombi,2004,automatik,133,c5,150000,2,diesel,citroen,ja,22305
2016-03-06 00:43:06,4600,kombi,2004,manuell,136,c5,150000,10,diesel,citroen,nein,44359
2016-03-06 00:45:43,10900,cabrio,2013,manuell,69,500,10000,1,benzin,fiat,nein,22763
2016-03-06 00:45:47,15666,coupe,2010,manuell,160,a5,90000,12,benzin,audi,nein,4600
2016-03-06 00:46:02,350,kleinwagen,2001,manuell,90,almera,150000,10,benzin,nissan,ja,14165
2016-03-06 00:46:03,900,kleinwagen,1999,manuell,58,twingo,150000,6,benzin,renault,nein,52070
2016-03-06 00:46:03,500,bus,2007,manuell,0,i_reihe,150000,4,benzin,hyundai,ja,25335
2016-03-06 00:46:05,4500,kleinwagen,2011,manuell,68,andere,30000,12,benzin,suzuki,nein,31134
2016-03-06 00:46:05,4600,coupe,2006,manuell,105,golf,150000,7,diesel,volkswagen,nein,16348
2016-03-06 00:46:06,10800,limousine,2008,automatik,170,a3,150000,2,diesel,audi,ja,12627
2016-03-06 00:46:07,850,limousine,1993,manuell,90,80,150000,6,benzin,audi,nein,99817
2016-03-06 00:46:10,4850,cabrio,1981,manuell,0,golf,150000,6,benzin,volkswagen,nein,21079
2016-03-06 00:48:57,800,kleinwagen,1998,manuell,75,fiesta,20000,9,benzin,ford,nein,51061
2016-03-06 00:49:15,12500,bus,2013,manuell,105,roomster,40000,2,diesel,skoda,nein,23879
2016-03-06 00:49:16,1200,kleinwagen,1998,manuell,58,twingo,150000,4,benzin,renault,nein,46145
2016-03-06 00:49:17,4799,cabrio,2000,manuell,163,c_reihe,150000,9,benzin,volvo,nein,72770
2016-03-06 00:49:18,5900,cabrio,2005,manuell,68,andere,60000,6,benzin,daihatsu,nein,82256
2016-03-06 00:49:23,10200,kombi,2008,manuell,170,e_klasse,150000,12,diesel,mercedes_benz,nein,49090
2016-03-06 00:49:30,2650,coupe,2001,manuell,0,3er,150000,11,benzin,bmw,nein,52428
2016-03-06 00:49:31,2590,cabrio,2003,manuell,95,ka,100000,4,benzin,ford,nein,4209
2016-03-06 00:49:35,5900,kombi,2008,manuell,125,v50,150000,5,andere,volvo,nein,26316
2016-03-06 00:49:38,5990,bus,2007,automatik,173,andere,150000,10,diesel,renault,nein,23562
2016-03-06 00:49:49,1100,kleinwagen,1995,manuell,54,punto,125000,12,benzin,fiat,nein,75305
2016-03-06 00:49:51,5850,bus,2007,manuell,105,roomster,125000,1,benzin,skoda,nein,93167
2016-03-06 00:49:53,15000,coupe,2009,manuell,170,tt,150000,3,diesel,audi,nein,59929
